Item 1: Label=NEGATIVE, Score=0.9047
Item 2: Label=POSITIVE, Score=0.9854
Item 3: Label=POSITIVE, Score=0.9910
Item 4: Label=POSITIVE, Score=0.9918
Item 5: Label=POSITIVE, Score=0.9862
Item 6: Label=POSITIVE, Score=0.9895
Item 7: Label=POSITIVE, Score=0.9820
Item 8: Label=POSITIVE, Score=0.9834
Item 9: Label=POSITIVE, Score=0.9762
Item 10: Label=POSITIVE, Score=0.9807
Item 11: Label=POSITIVE, Score=0.9866
Item 12: Label=POSITIVE, Score=0.9853
Item 13: Label=POSITIVE, Score=0.9911
Item 14: Label=POSITIVE, Score=0.9902
Item 15: Label=POSITIVE, Score=0.9861
Item 16: Label=POSITIVE, Score=0.9896
Item 17: Label=POSITIVE, Score=0.9879
Item 18: Label=POSITIVE, Score=0.9830
Item 19: Label=POSITIVE, Score=0.9893
Item 20: Label=POSITIVE, Score=0.9841
Item 21: Label=POSITIVE, Score=0.9869
Item 22: Label=POSITIVE, Score=0.9780
Item 23: Label=POSITIVE, Score=0.9682
Item 24: Label=POSITIVE, Score=0.9887
Item 25: Label=POSITIVE, Score=0.9912
Item 26: Label=POSITIVE, Score=0.9887
Item 27: Label=POSITIVE, Score=0.9692
Item 28: Label=POSITIVE, Score=0.9101
Item 29: Label=POSITIVE, Score=0.9567
Item 30: Label=POSITIVE, Score=0.9645
Item 31: Label=POSITIVE, Score=0.9633
Item 32: Label=POSITIVE, Score=0.9717
Item 33: Label=POSITIVE, Score=0.9647
Item 34: Label=POSITIVE, Score=0.9449
Item 35: Label=POSITIVE, Score=0.9616
Item 36: Label=POSITIVE, Score=0.9682
Item 37: Label=POSITIVE, Score=0.9487
Item 38: Label=POSITIVE, Score=0.9722
Item 39: Label=POSITIVE, Score=0.9718
Item 40: Label=POSITIVE, Score=0.9550
Item 41: Label=POSITIVE, Score=0.9744
Item 42: Label=POSITIVE, Score=0.8857
Item 43: Label=POSITIVE, Score=0.8558
Item 44: Label=POSITIVE, Score=0.8242
Item 45: Label=POSITIVE, Score=0.7944
Item 46: Label=POSITIVE, Score=0.9290
Item 47: Label=POSITIVE, Score=0.9370
Item 48: Label=POSITIVE, Score=0.9728
Item 49: Label=POSITIVE, Score=0.9802
Item 50: Label=POSITIVE, Score=0.9531
Item 51: Label=POSITIVE, Score=0.9806
Item 52: Label=POSITIVE, Score=0.9596
Item 53: Label=POSITIVE, Score=0.8693
Item 54: Label=POSITIVE, Score=0.7075
Item 55: Label=POSITIVE, Score=0.8630
Item 56: Label=POSITIVE, Score=0.9582
Item 57: Label=POSITIVE, Score=0.9133
Item 58: Label=POSITIVE, Score=0.9134
